OTU,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,Bacteria,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Mariniradius,saccharolyticus
OTU2,Bacteria,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,psychrophilus
OTU3,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Crocinitomicaceae,Fluviicola,taffensis
OTU4,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Labrenzia,marina
OTU5,Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,cellulosum
OTU6,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,moraviensis
OTU7,Bacteria,Bacteria,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,bacteriovorus
OTU8,Eukaryota,Eukaryota,,,,Vannellidae,Vannella,miroides
OTU9,Eukaryota,Eukaryota,,,Arcellinida,Arcellidae,Arcella,gibbosa
OTU10,Eukaryota,Eukaryota,Tubulinea,Elardia,Arcellinida,Arcellidae,Arcella,hemisphaerica
OTU11,Eukaryota,Eukaryota,,Phyllopharyngea,Dysteriida,Dysteriidae,Dysteria,cristata
OTU12,Eukaryota,Metazoa,Rotifera,Bdelloidea,Adinetida,Adinetidae,Adineta,vaga
OTU13,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Nakamurellales,Nakamurellaceae,Nakamurella,multipartita
OTU14,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis,elegans
OTU15,Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,aerofaciens
OTU16,Bacteria,Bacteria,Spirochaetes,Spirochaetia,,Leptospiraceae,Turneriella,parva
OTU17,Eukaryota,Eukaryota,,,,Vannellidae,Vannella,simplex
OTU18,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,caenicola
OTU19,Bacteria,Bacteria,Thermotogae,Thermotogae,Petrotogales,,Defluviitoga,tunisiensis
OTU20,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas,mucosa
OTU21,Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Riemerella,columbina
OTU22,Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Flexilinea,flocculi
OTU23,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,flavefaciens
OTU24,Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,fumaroxidans
OTU25,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Lentimicrobiaceae,Lentimicrobium,saccharophilum
OTU26,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Bauldia,litoralis
OTU27,Eukaryota,Metazoa,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Diplolaimella,dievengatensis
OTU28,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,,Diutina,rugosa
OTU29,Eukaryota,Metazoa,Rotifera,Bdelloidea,Philodinida,Philodinidae,Philodina,megalotrocha
OTU30,Bacteria,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,hyorhinis
OTU31,Eukaryota,Eukaryota,,,,Jakobidae,Jakoba,libera
OTU32,Eukaryota,Eukaryota,,Heterolobosea,Schizopyrenida,Vahlkampfiidae,Vahlkampfia,avara
OTU33,Eukaryota,Eukaryota,,Oomycetes,Peronosporales,Peronosporaceae,Plasmopara,viticola
OTU34,Eukaryota,Eukaryota,Ciliophora,Spirotrichea,Euplotida,Euplotidae,Euplotes,elegans
OTU35,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,tarda
OTU36,Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,versatilis
OTU37,Bacteria,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermovirga,lienii
OTU38,Bacteria,Bacteria,Spirochaetes,Spirochaetia,,Leptospiraceae,Leptonema,illini
OTU39,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,tarda
OTU40,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii
OTU41,Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis,pacifica
OTU42,Bacteria,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,zuelzerae
OTU43,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Ruminofilibacter,xylanolyticum
OTU44,Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus,buswellii
