kingdom,phylum,ERR2808645,ERR2808646,ERR2808647,ERR2808648,ERR2808649,ERR2808650,ERR2808651,ERR2808652,ERR2808653,ERR2808654,ERR2808655,ERR2808656,ERR2808657,ERR2808658,ERR2808659,ERR2808660,ERR2808661,ERR2808662,ERR2808663,ERR2808664,ERR2808665,ERR2808666,ERR2808667,ERR2808668
Archaea,Crenarchaeota,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,29,18,30,16,2,14,14,6,4,9,12,8,13,4,9,14,15,6,1,2,1,10,4,9
Bacteria,Acidobacteria,10,123,17,76,308,75,35,236,59,62,145,71,161,219,9,38,108,80,61,359,60,8,57,68
Bacteria,Actinobacteria,1420,856,1266,957,1015,881,319,984,1080,204,864,1160,906,912,1465,341,743,1289,767,1127,834,1542,1162,242
Bacteria,Armatimonadetes,1,4,1,4,2,3,0,3,4,2,3,7,5,2,0,0,3,8,3,2,4,0,4,2
Bacteria,Bacteroidetes,1702,1581,1557,2134,1585,2042,1414,2318,2238,1847,1842,1593,1954,2061,1516,1581,1402,1804,1288,1718,1387,1679,2424,1965
Bacteria,Balneolaeota,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bacteria,Caldiserica,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bacteria,Calditrichaeota,0,0,0,2,0,1,0,1,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0
Bacteria,Chlamydiae,2,14,2,30,30,31,17,3,11,3,6,16,5,3,8,16,13,21,4,28,4,11,12,2
Bacteria,Chlorobi,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexi,178,494,164,347,252,322,246,456,110,99,489,285,520,421,27,257,451,331,177,284,192,31,111,107
Bacteria,Cyanobacteria,7,19,7,28,29,29,27,42,30,17,42,101,36,33,21,36,21,106,25,31,24,23,30,20
Bacteria,Deferribacteres,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Elusimicrobia,1,6,3,1,0,1,1,1,3,0,4,1,7,2,0,0,5,0,2,1,2,0,3,0
Bacteria,Fibrobacteres,0,8,0,5,8,6,1,13,1,2,9,2,9,8,7,1,4,2,0,7,1,7,2,2
Bacteria,Firmicutes,398,286,354,395,249,361,191,376,259,516,295,370,330,357,252,209,267,409,202,288,214,269,281,540
Bacteria,Fusobacteria,6,7,10,21,11,19,10,25,18,55,9,18,10,25,8,13,8,23,8,16,9,4,22,63
Bacteria,Gemmatimonadetes,11,35,12,35,36,32,28,27,53,3,48,29,48,22,116,31,34,31,42,35,47,128,64,4
Bacteria,Ignavibacteriae,8,47,7,15,21,18,20,23,34,5,45,23,47,21,5,18,39,27,27,21,25,3,36,3
Bacteria,Kiritimatiellaeota,0,5,1,0,3,3,4,6,0,0,6,3,6,5,3,0,6,6,1,3,0,2,2,0
Bacteria,Lentisphaerae,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0
Bacteria,Nitrospirae,4,37,3,2,32,9,48,14,42,15,43,3,40,18,11,51,31,2,45,27,55,7,36,23
Bacteria,Planctomycetes,41,99,36,66,68,61,74,83,102,10,95,86,108,81,8,74,92,101,79,78,85,12,111,11
Bacteria,Proteobacteria,4488,3764,4067,5663,3902,5409,3948,6126,4623,15510,4006,4733,4329,5687,5755,4248,3388,5276,3339,4220,3598,6285,4923,16910
Bacteria,Spirochaetes,8,74,5,231,209,224,214,115,223,4,88,475,95,101,119,226,76,538,77,226,77,130,240,5
Bacteria,Synergistetes,9,10,14,16,11,22,2,12,15,11,6,14,6,15,5,7,10,8,3,18,5,10,5,6
Bacteria,Tenericutes,1,0,3,4,5,4,3,3,1,2,5,6,4,1,3,3,1,7,1,4,1,4,1,4
Bacteria,Thermotogae,0,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0
Bacteria,Verrucomicrobia,87,176,94,219,153,204,142,208,211,71,196,225,208,183,126,155,161,240,124,154,140,141,223,81
Eukaryota,Annelida,4,0,1,1,0,1,0,0,2,0,0,7,1,0,0,0,0,6,0,0,0,2,2,0
