OTU,phylum,kingdom
OTU1,Euryarchaeota,Archaea
OTU2,Acidobacteria,Bacteria
OTU3,Armatimonadetes,Bacteria
OTU4,Bacteroidetes,Bacteria
OTU5,Caldiserica,Bacteria
OTU6,Chloroflexi,Bacteria
OTU7,Elusimicrobia,Bacteria
OTU8,Firmicutes,Bacteria
OTU9,Gemmatimonadetes,Bacteria
OTU10,Ignavibacteriae,Bacteria
OTU11,Planctomycetes,Bacteria
OTU12,Proteobacteria,Bacteria
OTU13,Spirochaetes,Bacteria
OTU14,Synergistetes,Bacteria
OTU15,Tenericutes,Bacteria
OTU16,Thermotogae,Bacteria
OTU17,Verrucomicrobia,Bacteria
OTU18,Actinobacteria,Bacteria
OTU19,Chlamydiae,Bacteria
OTU20,Cyanobacteria,Bacteria
OTU21,Fusobacteria,Bacteria
OTU22,Cryptomycota,Eukaryota
OTU23,Nematoda,Eukaryota
