OTU,phylum,kingdom
OTU1,Euryarchaeota,Archaea
OTU2,Parvarchaeota,Archaea
OTU3,Acidobacteria,Bacteria
OTU4,Actinobacteria,Bacteria
OTU5,Armatimonadetes,Bacteria
OTU6,Bacteroidetes,Bacteria
OTU7,Caldiserica,Bacteria
OTU8,Caldithrix,Bacteria
OTU9,Chlamydiae,Bacteria
OTU10,Chlorobi,Bacteria
OTU11,Chloroflexi,Bacteria
OTU12,Cyanobacteria,Bacteria
OTU13,Elusimicrobia,Bacteria
OTU14,Fibrobacteres,Bacteria
OTU15,Firmicutes,Bacteria
OTU16,Fusobacteria,Bacteria
OTU17,Gemmatimonadetes,Bacteria
OTU18,Lentisphaerae,Bacteria
OTU19,Nitrospirae,Bacteria
OTU20,Planctomycetes,Bacteria
OTU21,Proteobacteria,Bacteria
OTU22,Spirochaetes,Bacteria
OTU23,Synergistetes,Bacteria
OTU24,Tenericutes,Bacteria
OTU25,Thermi,Bacteria
OTU26,Thermotogae,Bacteria
OTU27,Verrucomicrobia,Bacteria
OTU28,Crenarchaeota,Archaea
OTU29,Aquificae,Bacteria
OTU30,Chrysiogenetes,Bacteria
OTU31,Deferribacteres,Bacteria
OTU32,Dictyoglomi,Bacteria
OTU33,Balneolaeota,Bacteria
OTU34,Calditrichaeota,Bacteria
OTU35,Ignavibacteriae,Bacteria
OTU36,Kiritimatiellaeota,Bacteria
OTU37,Annelida,Eukaryota
OTU38,Apicomplexa,Eukaryota
OTU39,Arthropoda,Eukaryota
OTU40,Ascomycota,Eukaryota
OTU41,Bacillariophyta,Eukaryota
OTU42,Basidiomycota,Eukaryota
OTU43,Chlorophyta,Eukaryota
OTU44,Chordata,Eukaryota
OTU45,Chytridiomycota,Eukaryota
OTU46,Cnidaria,Eukaryota
OTU47,Cryptomycota,Eukaryota
OTU48,Euglenida,Eukaryota
OTU49,Microsporidia,Eukaryota
OTU50,Mucoromycota,Eukaryota
OTU51,Nematoda,Eukaryota
OTU52,Phaeophyceae,Eukaryota
OTU53,Platyhelminthes,Eukaryota
OTU54,Porifera,Eukaryota
OTU55,Rotifera,Eukaryota
OTU56,Streptophyta,Eukaryota
OTU57,Tardigrada,Eukaryota
OTU58,Zoopagomycota,Eukaryota
