OTU,phylum,kingdom
OTU1,Euryarchaeota,Archaea
OTU2,Acidobacteria,Bacteria
OTU3,Actinobacteria,Bacteria
OTU4,Armatimonadetes,Bacteria
OTU5,Bacteroidetes,Bacteria
OTU6,Caldiserica,Bacteria
OTU7,Calditrichaeota,Bacteria
OTU8,Chlamydiae,Bacteria
OTU9,Chloroflexi,Bacteria
OTU10,Cyanobacteria,Bacteria
OTU11,Elusimicrobia,Bacteria
OTU12,Fibrobacteres,Bacteria
OTU13,Firmicutes,Bacteria
OTU14,Fusobacteria,Bacteria
OTU15,Gemmatimonadetes,Bacteria
OTU16,Ignavibacteriae,Bacteria
OTU17,Lentisphaerae,Bacteria
OTU18,Nitrospirae,Bacteria
OTU19,Planctomycetes,Bacteria
OTU20,Proteobacteria,Bacteria
OTU21,Spirochaetes,Bacteria
OTU22,Synergistetes,Bacteria
OTU23,Tenericutes,Bacteria
OTU24,Thermotogae,Bacteria
OTU25,Verrucomicrobia,Bacteria
OTU26,Annelida,Eukaryota
OTU27,Arthropoda,Eukaryota
OTU28,Ascomycota,Eukaryota
OTU29,Basidiomycota,Eukaryota
OTU30,Cryptomycota,Eukaryota
OTU31,Euglenida,Eukaryota
OTU32,Nematoda,Eukaryota
OTU33,Rotifera,Eukaryota
