kingdom,phylum,ERZ724508,ERZ724502,ERZ724529,ERZ724524,ERZ724514,ERZ724528
Archaea,Euryarchaeota,0,3,0,3,0,0
Bacteria,Acidobacteria,0,1,0,0,10,1
Bacteria,Actinobacteria,4,8,5,9,11,3
Bacteria,Armatimonadetes,0,0,0,0,0,0
Bacteria,Bacteroidetes,10,18,30,35,29,4
Bacteria,Caldiserica,0,1,0,0,0,0
Bacteria,Calditrichaeota,0,0,0,0,0,0
Bacteria,Chlamydiae,0,0,0,0,1,0
Bacteria,Chloroflexi,0,6,3,2,11,0
Bacteria,Cyanobacteria,0,2,0,1,2,0
Bacteria,Elusimicrobia,0,0,0,0,0,0
Bacteria,Fibrobacteres,0,0,0,1,1,2
Bacteria,Firmicutes,0,18,0,23,4,1
Bacteria,Fusobacteria,1,4,1,2,0,0
Bacteria,Gemmatimonadetes,0,0,0,0,0,0
Bacteria,Ignavibacteriae,0,0,2,1,2,0
Bacteria,Lentisphaerae,0,0,0,0,0,0
Bacteria,Nitrospirae,0,1,1,1,1,1
Bacteria,Planctomycetes,0,4,1,0,5,0
Bacteria,Proteobacteria,26,32,28,47,49,38
Bacteria,Spirochaetes,0,3,0,4,2,0
Bacteria,Synergistetes,0,2,0,1,0,0
Bacteria,Tenericutes,0,0,0,0,0,1
Bacteria,Thermotogae,0,0,0,2,0,0
Bacteria,Verrucomicrobia,0,1,3,2,4,1
Eukaryota,Annelida,0,0,0,0,1,0
Eukaryota,Arthropoda,0,0,0,0,0,1
Eukaryota,Ascomycota,0,0,0,0,0,0
Eukaryota,Basidiomycota,0,0,0,0,0,0
Eukaryota,Cryptomycota,0,0,0,0,1,0
Eukaryota,Euglenida,0,1,0,0,0,2
Eukaryota,Nematoda,2,0,0,2,0,1
Eukaryota,Rotifera,0,0,0,1,0,0
